LOGGING STARTED
robot_main , [MAIN_LOOP] 567993630339 | kalman_calibration | [1.2179804475213112,-0.0035149185805913793]
robot_main , [MAIN_LOOP] 567993631793 | robot_frequency | [194.1001984319041,80,196.65197920597026]
robot_main , [CONTROLLER] 567993631793 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631793 | stability_controller | [-1.651494541874854e-5,0.16300547709085933,-4.193216863365473]
robot_main , [MAIN_LOOP] 567993631845 | robot_frequency | [194.2439605687162,90,196.65197920597026]
robot_main , [CONTROLLER] 567993631845 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631845 | stability_controller | [-1.651494541874854e-5,0.10529213583112029,31.20957538542892]
robot_main , [MAIN_LOOP] 567993631899 | robot_frequency | [194.06358500716982,100,196.65197920597026]
robot_main , [CONTROLLER] 567993631899 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631899 | stability_controller | [-1.651494541874854e-5,-0.07818405431361472,31.585905580788015]
robot_main , [MAIN_LOOP] 567993631952 | robot_frequency | [190.68612447227832,9,194.06358500716982]
robot_main , [CONTROLLER] 567993631952 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993631952 | stability_controller | [-1.651494541874854e-5,-0.4422024166452117,122.52924746691093]
robot_main , [MAIN_LOOP] 567993632004 | robot_frequency | [193.0493411983733,19,194.06358500716982]
robot_main , [CONTROLLER] 567993632004 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632004 | stability_controller | [-1.651494541874854e-5,-0.8881050389971171,75.98618373763041]
robot_main , [MAIN_LOOP] 567993632055 | robot_frequency | [193.872355243744,29,194.06358500716982]
robot_main , [CONTROLLER] 567993632055 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632055 | stability_controller | [-1.651494541874854e-5,-1.3757218215973404,144.0819614663009]
robot_main , [MAIN_LOOP] 567993632108 | robot_frequency | [194.00172435994315,39,194.06358500716982]
robot_main , [CONTROLLER] 567993632108 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632108 | stability_controller | [-1.651494541874854e-5,-1.8862995463141,99.47003076503017]
robot_main , [MAIN_LOOP] 567993632159 | robot_frequency | [194.3348199976014,49,194.06358500716982]
robot_main , [CONTROLLER] 567993632159 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632159 | stability_controller | [-1.651494541874854e-5,-2.378643025879994,131.1528228383205]
robot_main , [MAIN_LOOP] 567993632211 | robot_frequency | [194.10429428392598,59,194.06358500716982]
robot_main , [CONTROLLER] 567993632211 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632211 | stability_controller | [-1.651494541874854e-5,-2.8232263423246127,158.02114810903018]
robot_main , [MAIN_LOOP] 567993632263 | robot_frequency | [194.17406022910419,69,194.06358500716982]
robot_main , [CONTROLLER] 567993632263 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632263 | stability_controller | [-1.651494541874854e-5,-3.2376816617701287,102.91596006999552]
robot_main , [MAIN_LOOP] 567993632316 | robot_frequency | [193.9687857740419,79,194.06358500716982]
robot_main , [CONTROLLER] 567993632316 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632316 | stability_controller | [-1.651494541874854e-5,-3.5752200936411276,118.2640348959238]
robot_main , [MAIN_LOOP] 567993632368 | robot_frequency | [193.92928038843127,89,194.06358500716982]
robot_main , [CONTROLLER] 567993632368 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632368 | stability_controller | [-1.651494541874854e-5,-3.831387830581601,120.24734366659108]
robot_main , [MAIN_LOOP] 567993632422 | robot_frequency | [193.5885314241373,99,194.06358500716982]
robot_main , [CONTROLLER] 567993632422 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632422 | stability_controller | [-1.651494541874854e-5,-3.9298038084975384,64.07656633831357]
robot_main , [MAIN_LOOP] 567993632474 | robot_frequency | [197.61212077123727,8,193.68959565859427]
robot_main , [CONTROLLER] 567993632474 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632474 | stability_controller | [-1.651494541874854e-5,-3.8744204361714862,11.42321651530488]
robot_main , [MAIN_LOOP] 567993632526 | robot_frequency | [194.69879531909564,18,193.68959565859427]
robot_main , [CONTROLLER] 567993632526 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632526 | stability_controller | [-1.651494541874854e-5,-3.6994392709106303,32.546055697611266]
robot_main , [MAIN_LOOP] 567993632580 | robot_frequency | [193.3571919760735,28,193.68959565859427]
robot_main , [CONTROLLER] 567993632580 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632580 | stability_controller | [-1.651494541874854e-5,-3.416324407041816,9.341864019628964]
robot_main , [MAIN_LOOP] 567993632632 | robot_frequency | [193.09502884325576,38,193.68959565859427]
robot_main , [CONTROLLER] 567993632632 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632632 | stability_controller | [-1.651494541874854e-5,-3.0811839359490594,-46.30335902579906]
robot_main , [MAIN_LOOP] 567993632685 | robot_frequency | [192.8804011286584,48,193.68959565859427]
robot_main , [CONTROLLER] 567993632685 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632685 | stability_controller | [-1.651494541874854e-5,-2.7360982871966133,1.1536154978414785]
robot_main , [MAIN_LOOP] 567993632737 | robot_frequency | [193.24757408473977,58,193.68959565859427]
robot_main , [CONTROLLER] 567993632737 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632737 | stability_controller | [-1.651494541874854e-5,-2.3913107943001823,-52.85230972857343]
robot_main , [MAIN_LOOP] 567993632790 | robot_frequency | [192.927882245353,68,193.68959565859427]
robot_main , [CONTROLLER] 567993632790 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632790 | stability_controller | [-1.651494541874854e-5,-2.0503827657403737,-10.0587209868524]
robot_main , [MAIN_LOOP] 567993632843 | robot_frequency | [192.56678057616597,78,193.68959565859427]
robot_main , [CONTROLLER] 567993632843 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632843 | stability_controller | [-1.651494541874854e-5,-1.7090674530197156,-35.47804284141611]
robot_main , [MAIN_LOOP] 567993632895 | robot_frequency | [192.77877417724739,88,193.68959565859427]
robot_main , [CONTROLLER] 567993632895 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632895 | stability_controller | [-1.651494541874854e-5,-1.378025930010451,-42.71164491498911]
robot_main , [MAIN_LOOP] 567993632949 | robot_frequency | [192.28074029298287,98,193.68959565859427]
robot_main , [CONTROLLER] 567993632949 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993632949 | stability_controller | [-1.651494541874854e-5,-1.028388561442478,-31.609529775504466]
robot_main , [MAIN_LOOP] 567993633002 | robot_frequency | [199.98126310382915,7,191.8753701497034]
robot_main , [CONTROLLER] 567993633002 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633002 | stability_controller | [-1.651494541874854e-5,-0.6520301287449055,-96.33397088959259]
robot_main , [MAIN_LOOP] 567993633056 | robot_frequency | [192.69647925926208,17,191.8753701497034]
robot_main , [CONTROLLER] 567993633056 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633056 | stability_controller | [-1.651494541874854e-5,-0.2376024783667266,-102.4501109011323]
robot_main , [MAIN_LOOP] 567993633106 | robot_frequency | [189.68483862572157,26,191.8753701497034]
robot_main , [CONTROLLER] 567993633106 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633106 | stability_controller | [-1.651494541874854e-5,0.11332368567200288,-103.78226448635789]
robot_main , [MAIN_LOOP] 567993633160 | robot_frequency | [189.5915734596418,36,191.8753701497034]
robot_main , [CONTROLLER] 567993633160 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633160 | stability_controller | [-1.651494541874854e-5,0.42099759928093167,-40.77879676027771]
robot_main , [MAIN_LOOP] 567993633213 | robot_frequency | [189.29820008900657,46,191.8753701497034]
robot_main , [CONTROLLER] 567993633213 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633213 | stability_controller | [-1.651494541874854e-5,0.6490309192638436,-41.78524647319347]
robot_main , [MAIN_LOOP] 567993633267 | robot_frequency | [189.3557702848507,56,191.8753701497034]
robot_main , [CONTROLLER] 567993633267 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633267 | stability_controller | [-1.651494541874854e-5,0.7370466426913727,-15.43812145523335]
robot_main , [MAIN_LOOP] 567993633320 | robot_frequency | [189.29866373987372,66,191.8753701497034]
robot_main , [CONTROLLER] 567993633320 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633320 | stability_controller | [-1.651494541874854e-5,0.724596837362088,1.0817803294571853]
robot_main , [MAIN_LOOP] 567993633374 | robot_frequency | [189.00144906431547,76,191.8753701497034]
robot_main , [CONTROLLER] 567993633374 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633374 | stability_controller | [-1.651494541874854e-5,0.6512119169616436,-5.893400093309655]
robot_main , [MAIN_LOOP] 567993633428 | robot_frequency | [189.02699841552655,86,191.8753701497034]
robot_main , [CONTROLLER] 567993633428 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633428 | stability_controller | [-1.651494541874854e-5,0.5737363814676718,-6.690619544342537]
robot_main , [MAIN_LOOP] 567993633480 | robot_frequency | [189.40597617296723,96,191.8753701497034]
robot_main , [CONTROLLER] 567993633480 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633480 | stability_controller | [-1.651494541874854e-5,0.5556608717252084,-3.7688395690297627]
robot_main , [MAIN_LOOP] 567993633534 | robot_frequency | [197.38121969847532,5,188.76079600128412]
robot_main , [CONTROLLER] 567993633534 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633534 | stability_controller | [-1.651494541874854e-5,0.5864761885759868,-16.55179556507166]
robot_main , [MAIN_LOOP] 567993633588 | robot_frequency | [191.30169659994053,15,188.76079600128412]
robot_main , [CONTROLLER] 567993633588 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633588 | stability_controller | [-1.651494541874854e-5,0.6173246382755669,-27.2186561824878]
robot_main , [MAIN_LOOP] 567993633643 | robot_frequency | [189.41917573674667,25,188.76079600128412]
robot_main , [CONTROLLER] 567993633643 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633643 | stability_controller | [-1.651494541874854e-5,0.6764008454200823,-22.459150846653827]
robot_main , [MAIN_LOOP] 567993633697 | robot_frequency | [188.92939755822746,35,188.76079600128412]
robot_main , [CONTROLLER] 567993633697 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633697 | stability_controller | [-1.651494541874854e-5,0.724108279240055,-16.418761106560293]
robot_main , [MAIN_LOOP] 567993633750 | robot_frequency | [188.64353101574184,45,188.76079600128412]
robot_main , [CONTROLLER] 567993633750 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633750 | stability_controller | [-1.651494541874854e-5,0.7265689767523366,-5.934197468814]
robot_main , [MAIN_LOOP] 567993633805 | robot_frequency | [188.28331276785323,55,188.76079600128412]
robot_main , [CONTROLLER] 567993633805 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633805 | stability_controller | [-1.651494541874854e-5,0.6758250540308597,2.162455513865565]
robot_main , [MAIN_LOOP] 567993633860 | robot_frequency | [187.842702435534,65,188.76079600128412]
robot_main , [CONTROLLER] 567993633860 | speed_controller | [0.0,0.0,-1.651494541874854e-5]
robot_main , [CONTROLLER] 567993633860 | stability_controller | [-1.651494541874854e-5,0.5667712778063102,22.52471980384683]
robot_main , [MAIN_LOOP] 567993633912 | robot_frequency | [188.80399565907953,75,188.76079600128412]
robot_main , [CONTROLLER] 567993633912 | speed_controller | [0.0,0.48388671875,0.031038612311265753]
robot_main , [CONTROLLER] 567993633912 | stability_controller | [0.031038612311265753,0.4556314082587474,15.954122975532204]
robot_main , [MAIN_LOOP] 567993633962 | robot_frequency | [192.39675047135606,86,188.76079600128412]
robot_main , [CONTROLLER] 567993633962 | speed_controller | [0.0,2.5625,0.16756137249225503]
robot_main , [CONTROLLER] 567993633962 | stability_controller | [0.16756137249225503,0.3932589850970402,-47.58486196028071]
robot_main , [MAIN_LOOP] 567993634013 | robot_frequency | [195.1050043671175,97,188.76079600128412]
robot_main , [CONTROLLER] 567993634013 | speed_controller | [0.0,-0.24920654296875,-0.006796818049715514]
robot_main , [CONTROLLER] 567993634013 | stability_controller | [-0.006796818049715514,0.5091043945657565,-97.29884672636496]
robot_main , [MAIN_LOOP] 567993634065 | robot_frequency | [213.78906621119512,7,195.75796500618148]
robot_main , [CONTROLLER] 567993634065 | speed_controller | [0.0,-7.822265625,-0.4999928006538866]
robot_main , [CONTROLLER] 567993634065 | stability_controller | [-0.4999928006538866,0.53714984715014,-41.35698009594695]
robot_main , [MAIN_LOOP] 567993634115 | robot_frequency | [215.89056133284805,18,195.75796500618148]
robot_main , [CONTROLLER] 567993634115 | speed_controller | [0.0,-12.1953125,-0.8055265591270037]
robot_main , [CONTROLLER] 567993634115 | stability_controller | [-0.8055265591270037,0.3533053097256308,-18.15738803817053]
robot_main , [MAIN_LOOP] 567993634166 | robot_frequency | [216.33495754703623,29,195.75796500618148]
robot_main , [CONTROLLER] 567993634166 | speed_controller | [0.0,-11.0703125,-0.7662461061794056]
robot_main , [CONTROLLER] 567993634166 | stability_controller | [-0.7662461061794056,0.1477892146619366,65.39634095637702]
robot_main , [MAIN_LOOP] 567993634216 | robot_frequency | [216.61197806941362,40,195.75796500618148]
robot_main , [CONTROLLER] 567993634216 | speed_controller | [0.0,-10.171875,-0.7382960706017657]
robot_main , [CONTROLLER] 567993634216 | stability_controller | [-0.7382960706017657,0.05638955383979429,-7.720708316113493]
robot_main , [MAIN_LOOP] 567993634267 | robot_frequency | [216.42415319361285,51,195.75796500618148]
robot_main , [CONTROLLER] 567993634267 | speed_controller | [0.0,-10.2578125,-0.7700988423693671]
robot_main , [CONTROLLER] 567993634267 | stability_controller | [-0.7700988423693671,-0.007787909410525269,22.614869849112246]
robot_main , [MAIN_LOOP] 567993634318 | robot_frequency | [216.39447984363704,62,195.75796500618148]
robot_main , [CONTROLLER] 567993634318 | speed_controller | [0.0,-8.87109375,-0.7086454584756612]
robot_main , [CONTROLLER] 567993634318 | stability_controller | [-0.7086454584756612,-0.15956529663679508,30.802995920060496]
robot_main , [MAIN_LOOP] 567993634369 | robot_frequency | [216.2570560383748,73,195.75796500618148]
robot_main , [CONTROLLER] 567993634369 | speed_controller | [0.0,-5.978515625,-0.5453802661781411]
robot_main , [CONTROLLER] 567993634369 | stability_controller | [-0.5453802661781411,-0.3049774877036566,29.24215068998583]
robot_main , [MAIN_LOOP] 567993634420 | robot_frequency | [216.33298326013457,84,195.75796500618148]
robot_main , [CONTROLLER] 567993634420 | speed_controller | [0.0,-0.0413970947265625,-0.17598366725368758]
robot_main , [CONTROLLER] 567993634420 | stability_controller | [-0.17598366725368758,-0.5039774314590243,5.400180236101909]
robot_main , [MAIN_LOOP] 567993634471 | robot_frequency | [216.3606420897019,95,195.75796500618148]
robot_main , [CONTROLLER] 567993634471 | speed_controller | [0.0,-2.4677734375,-0.3315180913948593]
robot_main , [CONTROLLER] 567993634471 | stability_controller | [-0.3315180913948593,-0.24900942320910568,-181.141592039692]
robot_main , [MAIN_LOOP] 567993634522 | robot_frequency | [216.14095858109437,5,216.33270386128578]
robot_main , [CONTROLLER] 567993634522 | speed_controller | [0.0,-8.95703125,-0.7605855709893535]
robot_main , [CONTROLLER] 567993634522 | stability_controller | [-0.7605855709893535,-0.17545362698746703,-7.656275103530192]
robot_main , [MAIN_LOOP] 567993634573 | robot_frequency | [216.8694807106359,16,216.33270386128578]
robot_main , [CONTROLLER] 567993634573 | speed_controller | [0.0,-7.369140625,-0.6833644138711411]
robot_main , [CONTROLLER] 567993634573 | stability_controller | [-0.6833644138711411,-0.4642806617558076,202.6573401606669]
robot_main , [MAIN_LOOP] 567993634623 | robot_frequency | [216.95894225395375,27,216.33270386128578]
robot_main , [CONTROLLER] 567993634623 | speed_controller | [0.0,-0.23870849609375,-0.2401233375980105]
robot_main , [CONTROLLER] 567993634623 | stability_controller | [-0.2401233375980105,-0.5784033165442216,87.84981706966154]
robot_main , [MAIN_LOOP] 567993634674 | robot_frequency | [216.75737660028034,38,216.33270386128578]
robot_main , [CONTROLLER] 567993634674 | speed_controller | [0.0,4.056640625,0.039446908411116505]
robot_main , [CONTROLLER] 567993634674 | stability_controller | [0.039446908411116505,-0.5219659211615119,5.413899072051425]
robot_main , [MAIN_LOOP] 567993634725 | robot_frequency | [216.69978612529314,49,216.33270386128578]
robot_main , [CONTROLLER] 567993634725 | speed_controller | [0.0,2.6884765625,-0.03716101740043312]
robot_main , [CONTROLLER] 567993634725 | stability_controller | [-0.03716101740043312,-0.3077732007837183,-110.31169350996524]
robot_main , [MAIN_LOOP] 567993634776 | robot_frequency | [216.77931805346782,60,216.33270386128578]
robot_main , [CONTROLLER] 567993634776 | speed_controller | [0.0,-1.49267578125,-0.3017457758300466]
robot_main , [CONTROLLER] 567993634776 | stability_controller | [-0.3017457758300466,-0.2529666516137201,-30.123431484349943]
robot_main , [MAIN_LOOP] 567993634826 | robot_frequency | [216.73141255060835,71,216.33270386128578]
robot_main , [CONTROLLER] 567993634826 | speed_controller | [0.0,-0.87060546875,-0.2667456353045295]
robot_main , [CONTROLLER] 567993634826 | stability_controller | [-0.2667456353045295,-0.3513710780280685,15.531306802710722]
robot_main , [MAIN_LOOP] 567993634877 | robot_frequency | [216.76292548236844,82,216.33270386128578]
robot_main , [CONTROLLER] 567993634877 | speed_controller | [0.0,2.5927734375,-0.04434229882398222]
robot_main , [CONTROLLER] 567993634877 | stability_controller | [-0.04434229882398222,-0.4384909691863722,108.47875827114937]
robot_main , [MAIN_LOOP] 567993634928 | robot_frequency | [216.70773177080875,93,216.33270386128578]
robot_main , [CONTROLLER] 567993634928 | speed_controller | [0.0,5.916015625,0.1785502227125776]
robot_main , [CONTROLLER] 567993634928 | stability_controller | [0.1785502227125776,-0.4204157984736816,41.3249068182291]
robot_main , [MAIN_LOOP] 567993634979 | robot_frequency | [216.08186519422316,3,216.7197043085059]
