LOGGING STARTED
robot_main , [BALANCING_ROBOT] 567993617807 | startup
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [BALANCING_ROBOT] 567993619866 | robot_main
robot_main , [MAIN_LOOP] 567993627377 | robot_frequency | [238.00612223592975,3,237.7966644627673]
robot_main , [CONTROLLER] 567993627379 | stability_controller | [1.2873235591541744e-6,-2.7279249057318373,35.86829095898464]
robot_main , [MAIN_LOOP] 567993627379 | kalman_comparison | [-2.7279249057318373,0.31690617101336105]
robot_main , [MAIN_LOOP] 567993627878 | robot_frequency | [241.347100966996,22,239.60970772031473]
robot_main , [MAIN_LOOP] 567993627882 | kalman_comparison | [-2.7457054115242814,0.9646781804989424]
robot_main , [CONTROLLER] 567993627883 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993627883 | stability_controller | [1.2873235591541744e-6,-2.7457054115242814,43.15247343267595]
robot_main , [MAIN_LOOP] 567993628381 | robot_frequency | [237.49884979580452,42,242.8732709617923]
robot_main , [MAIN_LOOP] 567993628384 | kalman_comparison_predict_only | [-2.4224088458371713]
robot_main , [CONTROLLER] 567993628385 | stability_controller | [1.2873235591541744e-6,-2.4224088458371713,71.08537624240338]
robot_main , [CONTROLLER] 567993628385 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993628882 | robot_frequency | [238.53508066797932,61,240.10085298027033]
robot_main , [MAIN_LOOP] 567993628883 | kalman_comparison_predict_only | [-2.4431702046669503]
robot_main , [CONTROLLER] 567993628886 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993628886 | stability_controller | [1.2873235591541744e-6,-2.4431702046669503,66.77914370451936]
robot_main , [MAIN_LOOP] 567993629383 | robot_frequency | [242.5348315713173,81,239.58917145200186]
robot_main , [MAIN_LOOP] 567993629384 | kalman_comparison | [-2.4042020538041124,1.979770992141978]
robot_main , [CONTROLLER] 567993629387 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993629387 | stability_controller | [1.2873235591541744e-6,-2.4042020538041124,28.648615201106075]
robot_main , [MAIN_LOOP] 567993629884 | robot_frequency | [0,0,242.4167944024111]
robot_main , [CONTROLLER] 567993629886 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993629886 | stability_controller | [1.2873235591541744e-6,-2.603066817194036,-2.539057698233613]
robot_main , [MAIN_LOOP] 567993629886 | kalman_comparison | [-2.603066817194036,1.843895309148794]
robot_main , [MAIN_LOOP] 567993630387 | robot_frequency | [243.07002596264894,21,242.78065493852864]
robot_main , [MAIN_LOOP] 567993630390 | kalman_comparison_predict_only | [-2.69764399465555]
robot_main , [CONTROLLER] 567993630391 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993630391 | stability_controller | [1.2873235591541744e-6,-2.69764399465555,66.87356580821246]
robot_main , [MAIN_LOOP] 567993630891 | robot_frequency | [243.78975132326082,42,242.16783736924157]
robot_main , [MAIN_LOOP] 567993630892 | kalman_comparison_predict_only | [-2.2199631632626704]
robot_main , [CONTROLLER] 567993630895 | stability_controller | [1.2873235591541744e-6,-2.2199631632626704,58.36574616878091]
robot_main , [CONTROLLER] 567993630895 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993631395 | robot_frequency | [244.4667565722891,62,240.33221937962367]
robot_main , [MAIN_LOOP] 567993631396 | kalman_comparison | [-1.911159378408811,2.1853348231880316]
robot_main , [CONTROLLER] 567993631397 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993631397 | stability_controller | [1.2873235591541744e-6,-1.911159378408811,4.648796565178564]
robot_main , [MAIN_LOOP] 567993631896 | robot_frequency | [241.28088391360484,82,243.89260226204087]
robot_main , [MAIN_LOOP] 567993631900 | kalman_comparison | [-2.206907893737298,0.33512243588792506]
robot_main , [CONTROLLER] 567993631900 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993631900 | stability_controller | [1.2873235591541744e-6,-2.206907893737298,58.03413623773638]
robot_main , [MAIN_LOOP] 567993632398 | robot_frequency | [224.0393819226036,1,242.36587669542627]
robot_main , [MAIN_LOOP] 567993632402 | kalman_comparison_predict_only | [-2.4944102434075752]
robot_main , [CONTROLLER] 567993632402 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993632402 | stability_controller | [1.2873235591541744e-6,-2.4944102434075752,70.2896517651496]
robot_main , [MAIN_LOOP] 567993632899 | robot_frequency | [242.69865160373848,20,240.0319866613763]
robot_main , [MAIN_LOOP] 567993632903 | kalman_comparison_predict_only | [-2.2366973436808495]
robot_main , [CONTROLLER] 567993632903 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993632904 | stability_controller | [1.2873235591541744e-6,-2.2366973436808495,58.79504041261545]
robot_main , [MAIN_LOOP] 567993633402 | robot_frequency | [243.5746069724651,41,242.72451218703398]
robot_main , [MAIN_LOOP] 567993633404 | kalman_comparison | [-2.528741137614599,0.9252064497052034]
robot_main , [CONTROLLER] 567993633404 | stability_controller | [1.2873235591541744e-6,-2.528741137614599,42.81553591613613]
robot_main , [CONTROLLER] 567993633404 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993633906 | robot_frequency | [242.80716180925418,62,242.666976557373]
robot_main , [MAIN_LOOP] 567993633909 | kalman_comparison | [-2.5022263242195355,2.01713078234239]
robot_main , [CONTROLLER] 567993633910 | stability_controller | [1.2873235591541744e-6,-2.5022263242195355,28.566150067485385]
robot_main , [CONTROLLER] 567993633910 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993634406 | robot_frequency | [242.31947039435175,82,242.64564062998693]
robot_main , [MAIN_LOOP] 567993634408 | kalman_comparison | [-2.5478615065361043,1.513978126309812]
robot_main , [CONTROLLER] 567993634411 | stability_controller | [1.2873235591541744e-6,-2.5478615065361043,43.62855763747045]
robot_main , [CONTROLLER] 567993634411 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993634908 | robot_frequency | [239.41408118018612,100,240.32179266559774]
robot_main , [MAIN_LOOP] 567993634911 | kalman_comparison | [-2.6221275002446345,1.8426217394731401]
robot_main , [CONTROLLER] 567993634912 | stability_controller | [1.2873235591541744e-6,-2.6221275002446345,41.927168414010666]
robot_main , [CONTROLLER] 567993634912 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993635411 | robot_frequency | [241.44596521936995,19,240.6736471240316]
robot_main , [CONTROLLER] 567993635413 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993635413 | kalman_comparison | [-2.863759049215205,0.803226568464759]
robot_main , [CONTROLLER] 567993635414 | stability_controller | [1.2873235591541744e-6,-2.863759049215205,10.345581158177765]
robot_main , [MAIN_LOOP] 567993635914 | robot_frequency | [243.08323785893353,40,242.73603770863792]
robot_main , [CONTROLLER] 567993635916 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993635916 | kalman_comparison | [-2.6087928086540213,1.914918154796881]
robot_main , [CONTROLLER] 567993635916 | stability_controller | [1.2873235591541744e-6,-2.6087928086540213,18.624935968409133]
robot_main , [MAIN_LOOP] 567993636415 | robot_frequency | [241.85119797155883,60,242.45855219521684]
robot_main , [MAIN_LOOP] 567993636416 | kalman_comparison | [-2.654111400624069,1.875813117089575]
robot_main , [CONTROLLER] 567993636419 | stability_controller | [1.2873235591541744e-6,-2.654111400624069,34.34877395464089]
robot_main , [CONTROLLER] 567993636419 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993636916 | robot_frequency | [242.20373023968654,80,242.18627800361736]
robot_main , [CONTROLLER] 567993636918 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993636918 | kalman_comparison | [-2.7243474391979627,1.2814261073241306]
robot_main , [CONTROLLER] 567993636919 | stability_controller | [1.2873235591541744e-6,-2.7243474391979627,22.740633251176533]
robot_main , [MAIN_LOOP] 567993637417 | robot_frequency | [241.45077060563196,100,242.46193883359564]
robot_main , [MAIN_LOOP] 567993637420 | kalman_comparison_predict_only | [-2.8393182159751906]
robot_main , [CONTROLLER] 567993637421 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993637421 | stability_controller | [1.2873235591541744e-6,-2.8393182159751906,74.65158066903507]
robot_main , [MAIN_LOOP] 567993637919 | robot_frequency | [242.34039073148338,19,241.2410115791537]
robot_main , [MAIN_LOOP] 567993637921 | kalman_comparison_predict_only | [-2.9297923079244805]
robot_main , [CONTROLLER] 567993637923 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993637924 | stability_controller | [1.2873235591541744e-6,-2.9297923079244805,76.98022358687555]
robot_main , [MAIN_LOOP] 567993638423 | robot_frequency | [243.7164516709047,40,242.08875860330875]
robot_main , [MAIN_LOOP] 567993638426 | kalman_comparison_predict_only | [-3.0976088261397563]
robot_main , [CONTROLLER] 567993638427 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993638427 | stability_controller | [1.2873235591541744e-6,-3.0976088261397563,78.13708637680226]
robot_main , [MAIN_LOOP] 567993638923 | robot_frequency | [242.97369405216486,60,242.57739137477176]
robot_main , [MAIN_LOOP] 567993638927 | kalman_comparison | [-2.963458447861452,1.2194108090984024]
robot_main , [CONTROLLER] 567993638928 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993638928 | stability_controller | [1.2873235591541744e-6,-2.963458447861452,43.139710729335725]
robot_main , [MAIN_LOOP] 567993639424 | robot_frequency | [238.1549591417796,78,241.73764911853405]
robot_main , [MAIN_LOOP] 567993639427 | kalman_comparison_predict_only | [-2.9319244114658174]
robot_main , [CONTROLLER] 567993639428 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993639428 | stability_controller | [1.2873235591541744e-6,-2.9319244114658174,74.07863041478112]
robot_main , [MAIN_LOOP] 567993639924 | robot_frequency | [242.7276679617059,98,238.80225025022008]
robot_main , [MAIN_LOOP] 567993639926 | kalman_comparison | [-2.933958957592498,1.0978307434717625]
robot_main , [CONTROLLER] 567993639929 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993639929 | stability_controller | [1.2873235591541744e-6,-2.933958957592498,45.1130242593349]
robot_main , [MAIN_LOOP] 567993640426 | robot_frequency | [239.9274736973284,17,243.30585721250955]
robot_main , [CONTROLLER] 567993640428 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [MAIN_LOOP] 567993640428 | kalman_comparison | [-2.8856249967388825,1.117227004377035]
robot_main , [CONTROLLER] 567993640428 | stability_controller | [1.2873235591541744e-6,-2.8856249967388825,26.002335219764063]
robot_main , [MAIN_LOOP] 567993640929 | robot_frequency | [240.04395133339244,38,243.23208063714208]
robot_main , [MAIN_LOOP] 567993640930 | kalman_comparison | [-2.9275631130899864,1.087581541742241]
robot_main , [CONTROLLER] 567993640931 | speed_controller | [0.0,0.0,1.2873235591541744e-6]
robot_main , [CONTROLLER] 567993640931 | stability_controller | [1.2873235591541744e-6,-2.9275631130899864,16.608718363261097]
robot_main , [MAIN_LOOP] 567993641431 | robot_frequency | [243.2519159137851,59,242.0855071212875]
robot_main , [MAIN_LOOP] 567993641432 | kalman_comparison_predict_only | [-10.316480993597844]
robot_main , [CONTROLLER] 567993641435 | speed_controller | [0.0,0.56494140625,0.040566851299125455]
robot_main , [CONTROLLER] 567993641435 | stability_controller | [0.040566851299125455,-10.316480993597844,726.4372071427465]
robot_main , [MAIN_LOOP] 567993641935 | robot_frequency | [242.30057271841602,80,243.3038476358005]
robot_main , [MAIN_LOOP] 567993641936 | kalman_comparison_predict_only | [4.444138102559403]
robot_main , [CONTROLLER] 567993641936 | speed_controller | [0.0,0.0,0.00737976277434825]
robot_main , [CONTROLLER] 567993641936 | stability_controller | [0.00737976277434825,4.444138102559403,-8167.691438946047]
robot_main , [MAIN_LOOP] 567993642436 | robot_frequency | [0,0,243.3945698642978]
robot_main , [MAIN_LOOP] 567993642439 | kalman_comparison | [-242.24035142398205,0.5293011558130795]
robot_main , [CONTROLLER] 567993642440 | speed_controller | [0.0,0.0,0.004637736345612552]
robot_main , [CONTROLLER] 567993642440 | stability_controller | [0.004637736345612552,-242.24035142398205,2475.148858545148]
robot_main , [MAIN_LOOP] 567993642940 | robot_frequency | [242.46801029951888,21,242.83062999769538]
robot_main , [MAIN_LOOP] 567993642943 | kalman_comparison_predict_only | [-203.27212061743882]
robot_main , [CONTROLLER] 567993642944 | speed_controller | [0.0,0.0,0.004637736345612552]
robot_main , [CONTROLLER] 567993642944 | stability_controller | [0.004637736345612552,-203.27212061743882,3339.9422842631566]
robot_main , [MAIN_LOOP] 567993643441 | robot_frequency | [241.85962323299051,41,242.4746563124605]
robot_main , [MAIN_LOOP] 567993643442 | kalman_comparison | [-168.94039548213885,1.0178929993021035]
robot_main , [CONTROLLER] 567993643443 | speed_controller | [0.0,0.0,0.004637736345612552]
robot_main , [CONTROLLER] 567993643443 | stability_controller | [0.004637736345612552,-168.94039548213885,217.07708930967692]
robot_main , [MAIN_LOOP] 567993643944 | robot_frequency | [240.87293887475775,61,241.51434907721926]
robot_main , [MAIN_LOOP] 567993643947 | kalman_comparison | [-137.78459094845647,1.4786670713288046]
robot_main , [CONTROLLER] 567993643948 | stability_controller | [0.004637736345612552,-137.78459094845647,1302.1356625350554]
robot_main , [CONTROLLER] 567993643948 | speed_controller | [0.0,0.0,0.004637736345612552]
robot_main , [MAIN_LOOP] 567993644445 | robot_frequency | [242.77149710120176,81,240.91691225389854]
robot_main , [MAIN_LOOP] 567993644446 | kalman_comparison | [-112.96628289631992,1.0404486984894945]
robot_main , [CONTROLLER] 567993644447 | speed_controller | [0.0,0.0,0.004637736345612552]
robot_main , [CONTROLLER] 567993644447 | stability_controller | [0.004637736345612552,-112.96628289631992,-146.86307776859803]
robot_main , [MAIN_LOOP] 567993644946 | robot_frequency | [0,0,242.56161941148773]
robot_main , [MAIN_LOOP] 567993644948 | kalman_comparison | [-90.42692372108338,1.4977759106851267]
robot_main , [CONTROLLER] 567993644948 | speed_controller | [0.0,0.0,0.004637736345612552]
robot_main , [CONTROLLER] 567993644951 | stability_controller | [0.004637736345612552,-90.42692372108338,20.23103342727063]
robot_main , [MAIN_LOOP] 567993645449 | robot_frequency | [244.18961086318723,20,240.8836507916595]
robot_main , [MAIN_LOOP] 567993645450 | kalman_comparison_predict_only | [-80.06514237350883]
robot_main , [CONTROLLER] 567993645453 | stability_controller | [7.647112358009647,-80.06514237350883,2010.312545401806]
robot_main , [CONTROLLER] 567993645453 | speed_controller | [0.0,99.96875,7.647112358009647]
robot_main , [MAIN_LOOP] 567993645951 | robot_frequency | [243.39764629788655,41,243.094298419564]
robot_main , [CONTROLLER] 567993645955 | speed_controller | [0.0,0.0,0.7922167705604588]
robot_main , [MAIN_LOOP] 567993645955 | kalman_comparison_predict_only | [29.16493079744022]
robot_main , [CONTROLLER] 567993645955 | stability_controller | [0.7922167705604588,29.16493079744022,-5823.378421529889]
robot_main , [MAIN_LOOP] 567993646455 | robot_frequency | [242.60964540889145,62,242.76654568672348]
robot_main , [MAIN_LOOP] 567993646459 | kalman_comparison | [-107.12565815070877,0.6995693046967739]
robot_main , [CONTROLLER] 567993646459 | speed_controller | [0.0,0.0,0.7895708307143723]
robot_main , [CONTROLLER] 567993646460 | stability_controller | [0.7895708307143723,-107.12565815070877,840.4918520508843]
robot_main , [MAIN_LOOP] 567993646960 | robot_frequency | [243.4663234578553,83,242.0326916422815]
robot_main , [MAIN_LOOP] 567993646961 | kalman_comparison | [-82.85254775534804,2.542261485499919]
robot_main , [CONTROLLER] 567993646962 | stability_controller | [0.7895708307143723,-82.85254775534804,-345.04814707490505]
robot_main , [CONTROLLER] 567993646962 | speed_controller | [0.0,0.0,0.7895708307143723]
robot_main , [MAIN_LOOP] 567993647460 | robot_frequency | [237.89071257797758,2,242.16848174079826]
robot_main , [MAIN_LOOP] 567993647463 | kalman_comparison_predict_only | [-65.43835347941621]
robot_main , [CONTROLLER] 567993647464 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993647464 | stability_controller | [0.789770964824107,-65.43835347941621,1131.0024399451113]
robot_main , [MAIN_LOOP] 567993647961 | robot_frequency | [242.99275848529922,22,241.84979505986496]
robot_main , [MAIN_LOOP] 567993647962 | kalman_comparison_predict_only | [-51.490404396600866]
robot_main , [CONTROLLER] 567993647965 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993647965 | stability_controller | [0.789770964824107,-51.490404396600866,883.2649499942918]
robot_main , [MAIN_LOOP] 567993648462 | robot_frequency | [243.53214140969786,42,241.07478022016466]
robot_main , [MAIN_LOOP] 567993648466 | kalman_comparison | [-39.984988760480825,1.2161965211136028]
robot_main , [CONTROLLER] 567993648467 | stability_controller | [0.789770964824107,-39.984988760480825,345.7635151921515]
robot_main , [CONTROLLER] 567993648467 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993648964 | robot_frequency | [241.39925784570903,62,242.69377666520472]
robot_main , [MAIN_LOOP] 567993648967 | kalman_comparison_predict_only | [-31.90204509759814]
robot_main , [CONTROLLER] 567993648968 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993648968 | stability_controller | [0.789770964824107,-31.90204509759814,567.0088752615511]
robot_main , [MAIN_LOOP] 567993649466 | robot_frequency | [241.48572148221376,82,241.7193592911565]
robot_main , [MAIN_LOOP] 567993649469 | kalman_comparison | [-25.168545195113442,1.1528944651443152]
robot_main , [CONTROLLER] 567993649470 | stability_controller | [0.789770964824107,-25.168545195113442,237.10255372462726]
robot_main , [CONTROLLER] 567993649470 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993650046 | robot_frequency | [243.16561574333105,91,241.515055972539]
robot_main , [MAIN_LOOP] 567993650048 | kalman_comparison | [-14.982875531581,0.9795042911250224]
robot_main , [CONTROLLER] 567993650080 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993650095 | stability_controller | [0.789770964824107,-14.982875531581,-1305.9908804569995]
robot_main , [MAIN_LOOP] 567993650549 | robot_frequency | [240.04105959190085,91,235.06818246413172]
robot_main , [MAIN_LOOP] 567993650553 | kalman_comparison_predict_only | [-10.57853849664822]
robot_main , [CONTROLLER] 567993650554 | stability_controller | [0.789770964824107,-10.57853849664822,212.12816374611882]
robot_main , [CONTROLLER] 567993650554 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993651052 | robot_frequency | [182.93881196962928,1,230.16594098654284]
robot_main , [MAIN_LOOP] 567993651054 | kalman_comparison | [-7.513207952673804,1.346786194060122]
robot_main , [CONTROLLER] 567993651057 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993651057 | stability_controller | [0.789770964824107,-7.513207952673804,80.93159566629915]
robot_main , [MAIN_LOOP] 567993651552 | robot_frequency | [231.52332504813438,16,235.70910039086309]
robot_main , [MAIN_LOOP] 567993651554 | kalman_comparison | [-6.158986577290638,1.059443912320698]
robot_main , [CONTROLLER] 567993651555 | stability_controller | [0.789770964824107,-6.158986577290638,48.29408887503455]
robot_main , [CONTROLLER] 567993651555 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993652559 | robot_frequency | [231.89096615875908,48,237.13853753676366]
robot_main , [MAIN_LOOP] 567993652562 | kalman_comparison_predict_only | [-5.08248919569217]
robot_main , [CONTROLLER] 567993652564 | stability_controller | [0.789770964824107,-5.08248919569217,122.77621546855075]
robot_main , [CONTROLLER] 567993652564 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993653062 | robot_frequency | [236.84950867341055,64,233.08447680547025]
robot_main , [MAIN_LOOP] 567993653065 | kalman_comparison | [-4.404214911929537,1.0690419555980586]
robot_main , [CONTROLLER] 567993653067 | stability_controller | [0.789770964824107,-4.404214911929537,71.7001615988932]
robot_main , [CONTROLLER] 567993653067 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993653564 | robot_frequency | [239.76200519422042,81,235.3382396135173]
robot_main , [MAIN_LOOP] 567993653567 | kalman_comparison | [-4.0928158921785105,0.8294271253169919]
robot_main , [CONTROLLER] 567993653569 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993653569 | stability_controller | [0.789770964824107,-4.0928158921785105,68.96361252036826]
robot_main , [MAIN_LOOP] 567993654066 | robot_frequency | [231.14825447278227,92,235.7482711625073]
robot_main , [MAIN_LOOP] 567993654068 | kalman_comparison | [-3.777276044011561,1.2378568762021696]
robot_main , [CONTROLLER] 567993654069 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993654069 | stability_controller | [0.789770964824107,-3.777276044011561,62.82191162743442]
robot_main , [MAIN_LOOP] 567993654569 | robot_frequency | [231.15553831981583,5,233.58365089447838]
robot_main , [MAIN_LOOP] 567993654572 | kalman_comparison_predict_only | [-3.7773804845058208]
robot_main , [CONTROLLER] 567993654573 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [CONTROLLER] 567993654573 | stability_controller | [0.789770964824107,-3.7773804845058208,105.84434704616658]
robot_main , [MAIN_LOOP] 567993655570 | robot_frequency | [238.31963699463802,35,235.58598068575952]
robot_main , [MAIN_LOOP] 567993655574 | kalman_comparison | [-3.845952215636613,0.6330370310048142]
robot_main , [CONTROLLER] 567993655575 | stability_controller | [0.789770964824107,-3.845952215636613,72.76285198736963]
robot_main , [CONTROLLER] 567993655575 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993656074 | robot_frequency | [235.72512251233596,50,234.57816458425705]
robot_main , [MAIN_LOOP] 567993656078 | kalman_comparison | [-3.7372373668757057,0.8429480045636867]
robot_main , [CONTROLLER] 567993656079 | stability_controller | [0.789770964824107,-3.7372373668757057,72.98845910613733]
robot_main , [CONTROLLER] 567993656079 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993656574 | robot_frequency | [237.01591030106292,64,232.8958144721324]
robot_main , [MAIN_LOOP] 567993656578 | kalman_comparison_predict_only | [-3.7275033336880306]
robot_main , [CONTROLLER] 567993656580 | stability_controller | [0.789770964824107,-3.7275033336880306,100.92519044134767]
robot_main , [CONTROLLER] 567993656580 | speed_controller | [0.0,0.0,0.789770964824107]
robot_main , [MAIN_LOOP] 567993657076 | robot_frequency | [235.75268297096994,79,235.40707049947378]
robot_main , [MAIN_LOOP] 567993657080 | kalman_comparison | [-3.5763524151753185,1.1520976815973143]
