LOGGING STARTED
robot_main , [MAIN_LOOP] 567993629779 | kalman_calibration | [-33.04723633440943,2.4098633646912434e-4]
robot_main , [CONTROLLER] 567993632231 | stability_controller | [-0.7949480429748023,-81.71154703827274,1349.7417597051717]
robot_main , [MAIN_LOOP] 567993632282 | robot_frequency | [216.78908013286443,34,216.8261822064218]
robot_main , [CONTROLLER] 567993632282 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632282 | stability_controller | [-0.7949480429748023,-81.01066164188353,1307.475823803626]
robot_main , [MAIN_LOOP] 567993632333 | robot_frequency | [216.69283275174683,45,216.8261822064218]
robot_main , [CONTROLLER] 567993632333 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632333 | stability_controller | [-0.7949480429748023,-80.3218476769915,630.4038354255385]
robot_main , [MAIN_LOOP] 567993632384 | robot_frequency | [216.64482124920082,56,216.8261822064218]
robot_main , [CONTROLLER] 567993632384 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632384 | stability_controller | [-0.7949480429748023,-79.82491423044415,1320.1927992045291]
robot_main , [MAIN_LOOP] 567993632434 | robot_frequency | [216.75538942618846,67,216.8261822064218]
robot_main , [CONTROLLER] 567993632434 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632434 | stability_controller | [-0.7949480429748023,-79.1015723703124,1276.5170665314947]
robot_main , [MAIN_LOOP] 567993632485 | robot_frequency | [216.82246877749145,78,216.8261822064218]
robot_main , [CONTROLLER] 567993632485 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632485 | stability_controller | [-0.7949480429748023,-78.39001590663759,611.5343015944511]
robot_main , [MAIN_LOOP] 567993632536 | robot_frequency | [216.84530942763757,89,216.8261822064218]
robot_main , [CONTROLLER] 567993632536 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632536 | stability_controller | [-0.7949480429748023,-77.87462166261146,1287.390862128506]
robot_main , [MAIN_LOOP] 567993632586 | robot_frequency | [216.79519832874539,100,216.8261822064218]
robot_main , [CONTROLLER] 567993632586 | speed_controller | [0.0,0.0,-0.7949480429748023]
robot_main , [CONTROLLER] 567993632586 | stability_controller | [-0.7949480429748023,-77.13150112747208,1244.563620745427]
robot_main , [MAIN_LOOP] 567993632637 | robot_frequency | [216.15699066258497,10,216.79519832874539]
robot_main , [CONTROLLER] 567993632637 | speed_controller | [0.0,0.0,-0.7942466045609692]
robot_main , [CONTROLLER] 567993632637 | stability_controller | [-0.7942466045609692,-76.61355093337268,1266.2617370693822]
robot_main , [MAIN_LOOP] 567993632688 | robot_frequency | [216.4612790123418,21,216.79519832874539]
robot_main , [CONTROLLER] 567993632688 | speed_controller | [0.0,0.0,-0.7938017768136708]
robot_main , [CONTROLLER] 567993632688 | stability_controller | [-0.7938017768136708,-75.85657126543904,1223.399980918265]
robot_main , [MAIN_LOOP] 567993632739 | robot_frequency | [216.43344735563488,32,216.79519832874539]
robot_main , [CONTROLLER] 567993632739 | speed_controller | [0.0,0.0,-0.7931397690905507]
robot_main , [CONTROLLER] 567993632739 | stability_controller | [-0.7931397690905507,-75.12212081446958,421.13357707647015]
robot_main , [MAIN_LOOP] 567993632790 | robot_frequency | [216.70137042177814,43,216.79519832874539]
robot_main , [CONTROLLER] 567993632790 | speed_controller | [0.0,0.0,-0.7920571782444388]
robot_main , [CONTROLLER] 567993632790 | stability_controller | [-0.7920571782444388,-74.567055653513,1202.4925055889942]
robot_main , [MAIN_LOOP] 567993632844 | robot_frequency | [215.033410423379,54,216.79519832874539]
robot_main , [CONTROLLER] 567993632844 | speed_controller | [0.0,0.0,-0.7913224721012887]
robot_main , [CONTROLLER] 567993632844 | stability_controller | [-0.7913224721012887,-73.79220488315124,1187.623622784092]
robot_main , [MAIN_LOOP] 567993632894 | robot_frequency | [215.39779571250136,65,216.79519832874539]
robot_main , [CONTROLLER] 567993632894 | speed_controller | [0.0,0.0,-0.7906168257191923]
robot_main , [CONTROLLER] 567993632894 | stability_controller | [-0.7906168257191923,-73.04538638934697,506.9501054706533]
robot_main , [MAIN_LOOP] 567993632945 | robot_frequency | [215.6500545370392,76,216.79519832874539]
robot_main , [CONTROLLER] 567993632945 | speed_controller | [0.0,0.0,-0.7901424476123095]
robot_main , [CONTROLLER] 567993632945 | stability_controller | [-0.7901424476123095,-72.50684782501034,1018.5525964324077]
robot_main , [MAIN_LOOP] 567993632996 | robot_frequency | [215.6938270076507,87,216.79519832874539]
robot_main , [CONTROLLER] 567993632996 | speed_controller | [0.0,0.0,-0.7898400350282347]
robot_main , [CONTROLLER] 567993632996 | stability_controller | [-0.7898400350282347,-71.74312563357402,1157.1617786417564]
robot_main , [MAIN_LOOP] 567993633046 | robot_frequency | [215.8494035372199,98,216.79519832874539]
robot_main , [CONTROLLER] 567993633046 | speed_controller | [0.0,0.0,-0.7894395091521467]
robot_main , [CONTROLLER] 567993633046 | stability_controller | [-0.7894395091521467,-71.00316689514662,462.4218532629467]
robot_main , [MAIN_LOOP] 567993633097 | robot_frequency | [216.63633725191738,8,215.87969846187937]
robot_main , [CONTROLLER] 567993633097 | speed_controller | [0.0,0.0,-0.7885675054573833]
robot_main , [CONTROLLER] 567993633097 | stability_controller | [-0.7885675054573833,-70.473782359382,1024.6496325094688]
robot_main , [MAIN_LOOP] 567993633148 | robot_frequency | [217.07299824549767,19,215.87969846187937]
robot_main , [CONTROLLER] 567993633148 | speed_controller | [0.0,0.0,-0.7885675054573833]
robot_main , [CONTROLLER] 567993633148 | stability_controller | [-0.7885675054573833,-69.72244184576988,1123.9251217896337]
robot_main , [MAIN_LOOP] 567993633198 | robot_frequency | [217.14468112915884,30,215.87969846187937]
robot_main , [CONTROLLER] 567993633198 | speed_controller | [0.0,0.0,-0.7881981093467358]
robot_main , [CONTROLLER] 567993633198 | stability_controller | [-0.7881981093467358,-68.99632757900106,516.896430518643]
robot_main , [MAIN_LOOP] 567993633249 | robot_frequency | [217.06528466830773,41,215.87969846187937]
robot_main , [CONTROLLER] 567993633249 | speed_controller | [0.0,1.4697265625,-0.6943616833350127]
robot_main , [CONTROLLER] 567993633249 | stability_controller | [-0.6943616833350127,-68.45261022201576,1304.7784578843173]
robot_main , [MAIN_LOOP] 567993633300 | robot_frequency | [216.75794520972346,52,215.87969846187937]
robot_main , [CONTROLLER] 567993633300 | speed_controller | [0.0,0.0,-0.7868852798377368]
robot_main , [CONTROLLER] 567993633300 | stability_controller | [-0.7868852798377368,-67.72755021702709,410.51646027443553]
robot_main , [MAIN_LOOP] 567993633351 | robot_frequency | [216.84744910372487,63,215.87969846187937]
robot_main , [CONTROLLER] 567993633351 | speed_controller | [0.0,0.0,-0.7865681206225156]
robot_main , [CONTROLLER] 567993633351 | stability_controller | [-0.7865681206225156,-67.18098781441718,236.96036410451802]
robot_main , [MAIN_LOOP] 567993633401 | robot_frequency | [216.9087174703668,74,215.87969846187937]
robot_main , [CONTROLLER] 567993633401 | speed_controller | [0.0,0.0,-0.7858301974995268]
robot_main , [CONTROLLER] 567993633401 | stability_controller | [-0.7858301974995268,-66.658485810646,1104.0978280531879]
robot_main , [MAIN_LOOP] 567993633452 | robot_frequency | [216.93205912217707,85,215.87969846187937]
robot_main , [CONTROLLER] 567993633452 | speed_controller | [0.0,0.0,-0.7858301974995268]
robot_main , [CONTROLLER] 567993633452 | stability_controller | [-0.7858301974995268,-65.91356500778762,1062.0985094750279]
robot_main , [MAIN_LOOP] 567993633503 | robot_frequency | [216.94393811638622,96,215.87969846187937]
robot_main , [CONTROLLER] 567993633503 | speed_controller | [0.0,0.0,-0.7858301974995268]
robot_main , [CONTROLLER] 567993633503 | stability_controller | [-0.7858301974995268,-65.20296282878512,339.88213149613546]
robot_main , [MAIN_LOOP] 567993633553 | robot_frequency | [216.97346261603016,6,216.96505333414632]
robot_main , [CONTROLLER] 567993633553 | speed_controller | [0.0,0.0,-0.7853008771266324]
robot_main , [CONTROLLER] 567993633553 | stability_controller | [-0.7853008771266324,-64.69736209983105,1003.9038682838936]
robot_main , [MAIN_LOOP] 567993633604 | robot_frequency | [217.1752872691136,17,216.96505333414632]
robot_main , [CONTROLLER] 567993633604 | speed_controller | [0.0,0.0,-0.7853008771266324]
robot_main , [CONTROLLER] 567993633604 | stability_controller | [-0.7853008771266324,-63.98267245169426,1030.4024879461379]
robot_main , [MAIN_LOOP] 567993633655 | robot_frequency | [217.2375697680935,28,216.96505333414632]
robot_main , [CONTROLLER] 567993633655 | speed_controller | [0.0,0.0,-0.7853008771266324]
robot_main , [CONTROLLER] 567993633655 | stability_controller | [-0.7853008771266324,-63.294917358777724,299.3158006349396]
robot_main , [MAIN_LOOP] 567993633706 | robot_frequency | [216.31014338329877,39,216.96505333414632]
robot_main , [CONTROLLER] 567993633706 | speed_controller | [0.0,0.0,-0.7849915534503528]
robot_main , [CONTROLLER] 567993633706 | stability_controller | [-0.7849915534503528,-62.807941179107,1039.3477739285986]
robot_main , [MAIN_LOOP] 567993633757 | robot_frequency | [216.4661056718399,50,216.96505333414632]
robot_main , [CONTROLLER] 567993633757 | speed_controller | [0.0,0.0,-0.7849915534503528]
robot_main , [CONTROLLER] 567993633757 | stability_controller | [-0.7849915534503528,-62.11849931035329,1000.6386475217803]
robot_main , [MAIN_LOOP] 567993633807 | robot_frequency | [216.62307324440172,61,216.96505333414632]
robot_main , [CONTROLLER] 567993633807 | speed_controller | [0.0,0.0,-0.7849915534503528]
robot_main , [CONTROLLER] 567993633807 | stability_controller | [-0.7849915534503528,-61.46266261387805,319.2030247494722]
robot_main , [MAIN_LOOP] 567993633858 | robot_frequency | [216.65750248542932,72,216.96505333414632]
robot_main , [CONTROLLER] 567993633858 | speed_controller | [0.0,0.0,-0.7844455695970975]
robot_main , [CONTROLLER] 567993633858 | stability_controller | [-0.7844455695970975,-60.998714570231755,1011.24022064469]
robot_main , [MAIN_LOOP] 567993633909 | robot_frequency | [216.70399256866764,83,216.96505333414632]
robot_main , [CONTROLLER] 567993633909 | speed_controller | [0.0,0.0,-0.7844455695970975]
robot_main , [CONTROLLER] 567993633909 | stability_controller | [-0.7844455695970975,-60.333485602497596,368.8889299276153]
robot_main , [MAIN_LOOP] 567993633960 | robot_frequency | [216.77426621641968,94,216.96505333414632]
robot_main , [CONTROLLER] 567993633960 | speed_controller | [0.0,0.0,-0.7844497250709103]
robot_main , [CONTROLLER] 567993633960 | stability_controller | [-0.7844497250709103,-59.87843662408481,989.6146699787195]
robot_main , [MAIN_LOOP] 567993634011 | robot_frequency | [217.43730019187578,4,216.56220999451224]
robot_main , [CONTROLLER] 567993634011 | speed_controller | [0.0,0.0,-0.7837255572651631]
robot_main , [CONTROLLER] 567993634011 | stability_controller | [-0.7837255572651631,-59.22813450925724,952.0200676879641]
robot_main , [MAIN_LOOP] 567993634061 | robot_frequency | [217.4060280319906,15,216.56220999451224]
robot_main , [CONTROLLER] 567993634061 | speed_controller | [0.0,0.0,-0.7837255572651631]
robot_main , [CONTROLLER] 567993634061 | stability_controller | [-0.7837255572651631,-58.77927106859888,974.7498773299506]
robot_main , [MAIN_LOOP] 567993634112 | robot_frequency | [216.83635211665984,26,216.56220999451224]
robot_main , [CONTROLLER] 567993634112 | speed_controller | [0.0,1.208984375,-0.7064318515511114]
robot_main , [CONTROLLER] 567993634112 | stability_controller | [-0.7064318515511114,-58.1440512675245,1100.0714512306686]
robot_main , [MAIN_LOOP] 567993634163 | robot_frequency | [217.00000412316393,37,216.56220999451224]
robot_main , [CONTROLLER] 567993634163 | speed_controller | [0.0,0.0,-0.7832023593636115]
robot_main , [CONTROLLER] 567993634163 | stability_controller | [-0.7832023593636115,-57.54042389304971,373.9465485259566]
robot_main , [MAIN_LOOP] 567993634214 | robot_frequency | [217.07162370917294,48,216.56220999451224]
robot_main , [CONTROLLER] 567993634214 | speed_controller | [0.0,0.0,-0.7832023593636115]
robot_main , [CONTROLLER] 567993634214 | stability_controller | [-0.7832023593636115,-57.11959611149549,944.9473410760131]
robot_main , [MAIN_LOOP] 567993634265 | robot_frequency | [216.7866168034743,59,216.56220999451224]
robot_main , [CONTROLLER] 567993634265 | speed_controller | [0.0,0.0,-0.7829733521621994]
robot_main , [CONTROLLER] 567993634265 | stability_controller | [-0.7829733521621994,-56.51437729614174,909.4726638178804]
robot_main , [MAIN_LOOP] 567993634315 | robot_frequency | [216.8367430744247,70,216.56220999451224]
robot_main , [CONTROLLER] 567993634315 | speed_controller | [0.0,0.0,-0.7829733521621994]
robot_main , [CONTROLLER] 567993634315 | stability_controller | [-0.7829733521621994,-55.9460171071645,355.9245667550608]
robot_main , [MAIN_LOOP] 567993634366 | robot_frequency | [216.88128287481442,81,216.56220999451224]
robot_main , [CONTROLLER] 567993634366 | speed_controller | [0.0,0.0,-0.7826772668082588]
robot_main , [CONTROLLER] 567993634366 | stability_controller | [-0.7826772668082588,-55.54489589642924,920.762644959328]
robot_main , [MAIN_LOOP] 567993634417 | robot_frequency | [216.72081323246405,92,216.56220999451224]
