LOGGING STARTED
robot_main , [MAIN_LOOP] 567993632262 | kalman_calibration | [1.1307556023715484,0.0012415835966374752]
robot_main , [CONTROLLER] 567993634713 | speed_controller | [0.0,0.0,-3.8947059352831915e-4]
robot_main , [CONTROLLER] 567993634713 | stability_controller | [-3.8947059352831915e-4,1.6732667302681599,-32.766088494376596]
robot_main , [MAIN_LOOP] 567993634763 | robot_frequency | [216.91830245572197,34,217.06247780682085]
robot_main , [CONTROLLER] 567993634763 | speed_controller | [0.0,0.0,-3.8947059352831915e-4]
robot_main , [CONTROLLER] 567993634763 | stability_controller | [-3.8947059352831915e-4,1.7121351178245519,-31.94340474505849]
robot_main , [MAIN_LOOP] 567993634814 | robot_frequency | [216.92934239344999,45,217.06247780682085]
robot_main , [CONTROLLER] 567993634814 | speed_controller | [0.0,0.0,-3.9993000037721416e-4]
robot_main , [CONTROLLER] 567993634814 | stability_controller | [-3.9993000037721416e-4,1.7316405625687852,-35.693088603107476]
robot_main , [MAIN_LOOP] 567993634865 | robot_frequency | [216.9894496595397,56,217.06247780682085]
robot_main , [CONTROLLER] 567993634865 | speed_controller | [0.0,0.0,-3.9993000037721416e-4]
robot_main , [CONTROLLER] 567993634865 | stability_controller | [-3.9993000037721416e-4,1.704277405712804,-22.626354733114507]
robot_main , [MAIN_LOOP] 567993634915 | robot_frequency | [217.02880661147967,67,217.06247780682085]
robot_main , [CONTROLLER] 567993634915 | speed_controller | [0.0,0.0,-3.9993000037721416e-4]
robot_main , [CONTROLLER] 567993634915 | stability_controller | [-3.9993000037721416e-4,1.6535164616255817,-12.963544000131192]
robot_main , [MAIN_LOOP] 567993634966 | robot_frequency | [217.0671299085665,78,217.06247780682085]
robot_main , [CONTROLLER] 567993634966 | speed_controller | [0.0,0.0,-3.9993000037721416e-4]
robot_main , [CONTROLLER] 567993634966 | stability_controller | [-3.9993000037721416e-4,1.5780709885566455,-3.8929585208693425]
robot_main , [MAIN_LOOP] 567993635017 | robot_frequency | [216.97015289085186,89,217.06247780682085]
robot_main , [CONTROLLER] 567993635017 | speed_controller | [0.0,0.0,-3.9993000037721416e-4]
robot_main , [CONTROLLER] 567993635220 | speed_controller | [0.0,0.0,-3.207365692560025e-4]
robot_main , [CONTROLLER] 567993635220 | stability_controller | [-3.207365692560025e-4,0.8731312256543079,5.902608687078041]
robot_main , [MAIN_LOOP] 567993635271 | robot_frequency | [216.4807898188346,43,216.91943214391375]
robot_main , [CONTROLLER] 567993635271 | speed_controller | [0.0,0.009235382080078125,2.69460711397226e-4]
robot_main , [CONTROLLER] 567993635271 | stability_controller | [2.69460711397226e-4,0.7138243428017788,14.625399596650372]
robot_main , [MAIN_LOOP] 567993635321 | robot_frequency | [216.64135735925004,54,216.91943214391375]
robot_main , [CONTROLLER] 567993635321 | speed_controller | [0.0,0.0,-3.8894597144532736e-4]
robot_main , [CONTROLLER] 567993635321 | stability_controller | [-3.8894597144532736e-4,0.5712122328631799,35.69903170083773]
robot_main , [MAIN_LOOP] 567993635372 | robot_frequency | [216.66761324084123,65,216.91943214391375]
robot_main , [CONTROLLER] 567993635372 | speed_controller | [0.0,0.0,-3.8837446703486833e-4]
robot_main , [CONTROLLER] 567993635372 | stability_controller | [-3.8837446703486833e-4,0.47987533474103966,2.828879963558262]
robot_main , [MAIN_LOOP] 567993635423 | robot_frequency | [216.59921053127078,76,216.91943214391375]
robot_main , [CONTROLLER] 567993635423 | speed_controller | [0.0,0.0,-4.555915807196875e-4]
robot_main , [CONTROLLER] 567993635423 | stability_controller | [-4.555915807196875e-4,0.39374897297220873,10.882347496040722]
robot_main , [MAIN_LOOP] 567993635474 | robot_frequency | [216.69032111652126,87,216.91943214391375]
robot_main , [CONTROLLER] 567993635474 | speed_controller | [0.0,0.0,-4.8545849826179573e-4]
robot_main , [CONTROLLER] 567993635474 | stability_controller | [-4.8545849826179573e-4,0.3003005731628782,21.97895035462667]
robot_main , [MAIN_LOOP] 567993635524 | robot_frequency | [216.75018716476742,98,216.91943214391375]
robot_main , [CONTROLLER] 567993635524 | speed_controller | [0.0,0.0,-4.808205411714148e-4]
robot_main , [CONTROLLER] 567993635524 | stability_controller | [-4.808205411714148e-4,0.1854531235228299,10.813524350881645]
robot_main , [MAIN_LOOP] 567993635575 | robot_frequency | [216.87879729358983,8,216.7640176139358]
robot_main , [CONTROLLER] 567993635575 | speed_controller | [0.0,0.0,-4.762202418819648e-4]
robot_main , [CONTROLLER] 567993635575 | stability_controller | [-4.762202418819648e-4,0.06605296512700964,23.34838120221646]
robot_main , [MAIN_LOOP] 567993635626 | robot_frequency | [215.88877461770812,19,216.7640176139358]
robot_main , [CONTROLLER] 567993635626 | speed_controller | [0.0,0.0,-4.762202418819648e-4]
robot_main , [CONTROLLER] 567993635626 | stability_controller | [-4.762202418819648e-4,-0.07313474842159133,46.65375314655872]
robot_main , [MAIN_LOOP] 567993635676 | robot_frequency | [211.63419999516847,29,216.7640176139358]
robot_main , [CONTROLLER] 567993635676 | speed_controller | [0.0,0.0389251708984375,0.002009898160413723]
robot_main , [CONTROLLER] 567993635676 | stability_controller | [0.002009898160413723,-0.27258962334306913,44.517943828916614]
robot_main , [MAIN_LOOP] 567993635727 | robot_frequency | [212.94796682089205,40,216.7640176139358]
robot_main , [CONTROLLER] 567993635727 | speed_controller | [0.0,0.0,-4.527639715847904e-4]
robot_main , [CONTROLLER] 567993635727 | stability_controller | [-4.527639715847904e-4,-0.44678460136414616,27.20715003142541]
robot_main , [MAIN_LOOP] 567993635778 | robot_frequency | [213.8835680238599,51,216.7640176139358]
robot_main , [CONTROLLER] 567993635778 | speed_controller | [0.0,0.0,-4.527639715847904e-4]
robot_main , [CONTROLLER] 567993635778 | stability_controller | [-4.527639715847904e-4,-0.5675855599378458,38.76111416743042]
robot_main , [MAIN_LOOP] 567993635829 | robot_frequency | [214.47301985128584,62,216.7640176139358]
robot_main , [CONTROLLER] 567993635829 | speed_controller | [0.0,0.0,-3.636225830804456e-4]
robot_main , [CONTROLLER] 567993635829 | stability_controller | [-3.636225830804456e-4,-0.6994134757879744,38.84032703164528]
robot_main , [MAIN_LOOP] 567993635879 | robot_frequency | [214.89670961879062,73,216.7640176139358]
robot_main , [CONTROLLER] 567993635879 | speed_controller | [0.0,0.0,-3.388942647278732e-4]
robot_main , [CONTROLLER] 567993635879 | stability_controller | [-3.388942647278732e-4,-0.8550523159425826,76.68357783101163]
robot_main , [MAIN_LOOP] 567993635930 | robot_frequency | [215.17398108791224,84,216.7640176139358]
robot_main , [CONTROLLER] 567993635930 | speed_controller | [0.0,0.0,-3.282865077479933e-4]
robot_main , [CONTROLLER] 567993635930 | stability_controller | [-3.282865077479933e-4,-0.9921281731558578,29.67029872498761]
robot_main , [MAIN_LOOP] 567993635981 | robot_frequency | [215.4001675469514,95,216.7640176139358]
robot_main , [CONTROLLER] 567993635981 | speed_controller | [0.0,0.0,-2.6936061661799116e-4]
robot_main , [CONTROLLER] 567993635981 | stability_controller | [-2.6936061661799116e-4,-1.0918865506711652,26.27112266059484]
robot_main , [MAIN_LOOP] 567993636031 | robot_frequency | [217.12245794053115,5,215.4884291506192]
robot_main , [CONTROLLER] 567993636031 | speed_controller | [0.0,0.0,-3.163862524804024e-4]
robot_main , [CONTROLLER] 567993636031 | stability_controller | [-3.163862524804024e-4,-1.1440337320648621,33.05092732592882]
robot_main , [MAIN_LOOP] 567993636082 | robot_frequency | [217.0875009409508,16,215.4884291506192]
robot_main , [CONTROLLER] 567993636082 | speed_controller | [0.0,0.0,-2.994777377067983e-4]
robot_main , [CONTROLLER] 567993636082 | stability_controller | [-2.994777377067983e-4,-1.1730088466109896,19.07637758396656]
robot_main , [MAIN_LOOP] 567993636133 | robot_frequency | [217.066281631288,27,215.4884291506192]
robot_main , [CONTROLLER] 567993636133 | speed_controller | [0.0,0.02787017822265625,0.001452156567414317]
robot_main , [CONTROLLER] 567993636133 | stability_controller | [0.001452156567414317,-1.1829524158119498,21.577400601189424]
robot_main , [MAIN_LOOP] 567993636183 | robot_frequency | [217.05408345978196,38,215.4884291506192]
robot_main , [CONTROLLER] 567993636183 | speed_controller | [0.0,0.0,-3.17599749724355e-4]
robot_main , [CONTROLLER] 567993636183 | stability_controller | [-3.17599749724355e-4,-1.1818115678390533,12.917706367561863]
robot_main , [MAIN_LOOP] 567993636234 | robot_frequency | [216.80177414352144,49,215.4884291506192]
robot_main , [CONTROLLER] 567993636234 | speed_controller | [0.0,0.2094060778617859,0.013060289302957283]
robot_main , [CONTROLLER] 567993636234 | stability_controller | [0.013060289302957283,-1.1392284472521665,31.141589965847263]
robot_main , [MAIN_LOOP] 567993636285 | robot_frequency | [216.8326117466327,60,215.4884291506192]
robot_main , [CONTROLLER] 567993636285 | speed_controller | [0.0,0.0,-2.3699664126612061e-4]
robot_main , [CONTROLLER] 567993636285 | stability_controller | [-2.3699664126612061e-4,-1.0795584738209352,-4.471044777556042]
robot_main , [MAIN_LOOP] 567993636336 | robot_frequency | [216.8207681847943,71,215.4884291506192]
robot_main , [CONTROLLER] 567993636336 | speed_controller | [0.0,0.0,-2.3342982902245879e-4]
robot_main , [CONTROLLER] 567993636336 | stability_controller | [-2.3342982902245879e-4,-1.0606048394103085,12.632971913847921]
robot_main , [MAIN_LOOP] 567993636387 | robot_frequency | [216.8574333612283,82,215.4884291506192]
robot_main , [CONTROLLER] 567993636387 | speed_controller | [0.0,0.0,-2.3342982902245879e-4]
robot_main , [CONTROLLER] 567993636387 | stability_controller | [-2.3342982902245879e-4,-1.0275140200568713,14.309872924641734]
robot_main , [MAIN_LOOP] 567993636437 | robot_frequency | [216.876270404066,93,215.4884291506192]
robot_main , [CONTROLLER] 567993636437 | speed_controller | [0.0,0.0,-1.9259586635321922e-4]
robot_main , [CONTROLLER] 567993636437 | stability_controller | [-1.9259586635321922e-4,-1.0086995357305506,4.293449207237055]
robot_main , [MAIN_LOOP] 567993636488 | robot_frequency | [216.91467157050224,3,216.86601489109256]
robot_main , [CONTROLLER] 567993636488 | speed_controller | [0.0,0.0,-2.3927118058869113e-4]
robot_main , [CONTROLLER] 567993636488 | stability_controller | [-2.3927118058869113e-4,-0.994050722105842,15.30961904478142]
robot_main , [MAIN_LOOP] 567993636539 | robot_frequency | [216.59943114860653,14,216.86601489109256]
robot_main , [CONTROLLER] 567993636539 | speed_controller | [0.0,0.0,-2.3927118058869113e-4]
robot_main , [CONTROLLER] 567993636539 | stability_controller | [-2.3927118058869113e-4,-0.987580108696478,13.266470732304727]
robot_main , [MAIN_LOOP] 567993636590 | robot_frequency | [215.89992870948356,25,216.86601489109256]
robot_main , [CONTROLLER] 567993636590 | speed_controller | [0.0,0.0,-2.3927118058869113e-4]
robot_main , [CONTROLLER] 567993636590 | stability_controller | [-2.3927118058869113e-4,-1.0098738447446776,21.774618358873976]
robot_main , [MAIN_LOOP] 567993636641 | robot_frequency | [215.87656667463474,36,216.86601489109256]
robot_main , [CONTROLLER] 567993636641 | speed_controller | [0.0,0.0328521728515625,0.001854445038004126]
robot_main , [CONTROLLER] 567993636641 | stability_controller | [0.001854445038004126,-1.031031125065629,26.724454138876403]
robot_main , [MAIN_LOOP] 567993636692 | robot_frequency | [216.10168064406682,47,216.86601489109256]
robot_main , [CONTROLLER] 567993636692 | speed_controller | [0.0,0.0,-2.5554395573358944e-4]
robot_main , [CONTROLLER] 567993636692 | stability_controller | [-2.5554395573358944e-4,-1.0528200388880893,16.35739760115038]
robot_main , [MAIN_LOOP] 567993636743 | robot_frequency | [216.1140236772348,58,216.86601489109256]
robot_main , [CONTROLLER] 567993636743 | speed_controller | [0.0,0.0,-2.499015003385985e-4]
robot_main , [CONTROLLER] 567993636743 | stability_controller | [-2.499015003385985e-4,-1.0730677968472933,22.219578527419767]
robot_main , [MAIN_LOOP] 567993636793 | robot_frequency | [216.18486670861577,69,216.86601489109256]
robot_main , [CONTROLLER] 567993636793 | speed_controller | [0.0,0.0,-2.3561200977197317e-4]
robot_main , [CONTROLLER] 567993636793 | stability_controller | [-2.3561200977197317e-4,-1.1028413092780633,23.513204176040162]
robot_main , [MAIN_LOOP] 567993636844 | robot_frequency | [216.33334455040398,80,216.86601489109256]
robot_main , [CONTROLLER] 567993636844 | speed_controller | [0.0,0.0,-2.3561200977197317e-4]
robot_main , [CONTROLLER] 567993636844 | stability_controller | [-2.3561200977197317e-4,-1.1210133488826117,19.735981441842522]
robot_main , [MAIN_LOOP] 567993636895 | robot_frequency | [216.42850781185354,91,216.86601489109256]
robot_main , [CONTROLLER] 567993636895 | speed_controller | [0.0,0.0,-2.3561200977197317e-4]
robot_main , [CONTROLLER] 567993636895 | stability_controller | [-2.3561200977197317e-4,-1.1137900846745332,19.762010468184812]
